,,yield per colony,stocks december,average price per pound,value of production,lost colonies,percent lost,added colonies,renovated colonies,percent renovated,varroa mites,other pests and parasites,diseases,pesticides,other,unknown
2016,Iowa,48,-0.097489474,-0.713627019,-0.371009027,-0.269579789,-0.027611114,-0.022475644,-0.372454381,-0.818367607,-0.065502048,-0.059509023,0.873774449,-0.043476256,0.892436924,0.225889144
2016,Kansas,48,-0.470010866,0.044698021,-0.597085432,-0.37625605,1.096300264,-0.403803173,-0.396132912,-0.445818518,0.179654994,0.237312136,-0.022204192,0.474031436,-0.555155407,-0.4592383
2016,Kentucky,46,-0.473240821,0.818821499,-0.605204899,-0.401527365,0.045687454,-0.421376979,-0.402915204,-0.765146309,0.217542901,1.356327906,-0.407223126,0.786178933,1.016074703,0.225889144
2016,Louisiana,86,-0.337044415,-0.824216088,0.022108494,-0.171178207,-0.198641106,-0.193880442,-0.237284476,-0.126490728,-0.530186077,-0.14855537,0.078548426,-1.135992495,-0.132726329,-0.875208534
2016,Maine,34,-0.464089284,0.313271472,-0.566806587,-0.386208028,-0.345238242,-0.453876484,-0.401963304,-0.942550637,-0.306201689,-1.368490334,-0.468394359,0.042775026,-0.86940143,0.654093797
2016,Michigan,60,0.420918187,-0.484549664,0.386977036,0.004379161,-0.17420825,-0.140196074,-0.256679454,-0.658703712,0.161825391,-0.335552701,-0.572745285,-0.051690664,-0.148181051,-0.18396388
2016,Minnesota,59,0.249192285,-1.021696567,0.362280325,0.205655125,0.07012031,-0.086150601,-0.337710004,-0.978031502,-0.288372086,-0.359298393,-0.068982193,1.632262937,0.665767662,1.296400776
2016,Mississippi,85,-0.438249649,-0.99009969,-0.447129029,-0.253924992,-0.198641106,0.236196344,0.622519865,3.22645107,-0.646078497,-1.009336732,-0.522368975,-0.918310688,-0.920917171,0.207537516
2016,Missouri,62,-0.482930684,-0.531944979,-0.58651321,-0.405888344,-0.516268234,-0.352405807,-0.386970867,-0.481299384,-0.743026964,-0.549263935,-0.561950361,-0.951168319,-0.812734114,-0.538762021
2016,Montana,77,1.214410287,-0.958502813,1.149361144,-0.047058029,-0.662865371,0.208752318,-0.172317251,-0.658703712,-0.01758499,0.249184983,0.95293722,-0.207764412,1.026377851,0.978305891
